sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:measurementUnit,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:Valuepercentiles,ADD_INFO:omopQuantity,ADD_INFO:testNameAbbreviation
fp-kol[mmol/l],fp-kol[mmol/l],614407,,0,APPROVED,,FinOMOP,1717545600000,3019900,Cholesterol [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402445,fP-Kolesteroli,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.5, 3.3, 3.8, 4.1, 4.4, 4.7, 5, 5.3, 5.7, 6.3,_ ]",Substance Concentration,fp-kol
p-tsh[mu/l],p-tsh[mu/l],607086,,0,APPROVED,,FinOMOP,1717545600000,3009201,Thyrotropin [Units/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mu/l,2002404816,P -Tyreotropiini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0.62, 1, 1.3, 1.56, 1.85, 2.18, 2.6, 3.16, 4.17,_ ]",Arbitrary Concentration,p-tsh
fp-kol-hdl[mmol/l],fp-kol-hdl[mmol/l],595634,,0,APPROVED,,FinOMOP,1717545600000,3023602,Cholesterol in HDL [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402449,"fP-kolesteroli, high density lipoproteiinit",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0.95, 1.09, 1.2, 1.3, 1.4, 1.5, 1.63, 1.8, 2.04,_ ]",Substance Concentration,fp-kol-hdl
fp-trigly[mmol/l],fp-trigly[mmol/l],584688,,0,APPROVED,,FinOMOP,1717545600000,3048773,Triglyceride [Moles/volume] in Serum or Plasma --fasting,Measurement,,,Javier,1717545600000,,mmol/l,2002402520,fP-Triglyseridit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.1, 0.7, 0.81, 0.95, 1.08, 1.2, 1.38, 1.57, 1.85, 2.37,_ ]",Substance Concentration,fp-trigly
b-la[mm/h],b-la[mm/h],549550,,0,APPROVED,,FinOMOP,1717545600000,3013707,Erythrocyte sedimentation rate by Westergren method,Measurement,,,Javier,1717545600000,,mm/h,2002401235,"Laskopaketti, Sastamala, Nokia",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 2, 3, 5, 6, 8, 11, 15, 22, 35,_ ]",Velocity (distance/time),b-la
p-gluk[mmol/l],p-gluk[mmol/l],503436,,0,APPROVED,,FinOMOP,1717545600000,3013826,Glucose [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002404282,"Glukoosi-paketti, Heinola",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ -6.7, 4.9, 5.4, 5.7, 6.1, 6.4, 6.9, 7.6, 8.6, 10.6,_ ]",Substance Concentration,p-gluk
pt-gfre[ml/min/173m2],pt-gfre[ml/min/173m2],488857,,0,APPROVED,,FinOMOP,1717545600000,40764999,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",Measurement,,,Javier,1717545600000,,ml/min/173m2,2002405193,"Pt-Glomerulussuodosnopeus, estimoitu ",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 2, 43, 58, 68, 76.09, 83, 88, 94, 100, 109.88,_ ]",Volume Rate/Area,pt-gfre
p-bil[umol/l],p-bil[umol/l],475461,,0,APPROVED,,FinOMOP,1717545600000,3006140,Bilirubin.total [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,umol/l,2002404048,P -Bilirubiini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 5, 6, 7, 8, 10, 12, 14, 19, 32,_ ]",Substance Concentration,p-bil
b-eos[e9/l],b-eos[e9/l],434386,,0,APPROVED,,FinOMOP,1717545600000,3013115,Eosinophils [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002400976,"Eosinofiilit, absol. arvot",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0.02, 0.07, 0.1, 0.12, 0.16, 0.2, 0.23, 0.3, 0.41,_ ]",Number Concentration,b-eos
p-t4-v[pmol/l],p-t4-v[pmol/l],433249,,0,APPROVED,,FinOMOP,1717545600000,3008486,Thyroxine (T4) free [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,pmol/l,2002404741,"P -Tyroksiini, vapaa",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.5, 12, 13, 14, 14.6, 15.1, 16, 16.9, 17.9, 19.3,_ ]",Substance Concentration,p-t4-v
b-baso[e9/l],b-baso[e9/l],397395,,0,APPROVED,,FinOMOP,1717545600000,3006315,Basophils [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002400850,B -Basofiiliset leukosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0, 0.01, 0.02, 0.03, 0.03, 0.04, 0.05, 0.07, 0.1,_ ]",Number Concentration,b-baso
b-erybla[e9/l],b-erybla[e9/l],378779,,0,APPROVED,,FinOMOP,1717545600000,3021589,Normoblasts [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002400998,Erytroblastit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,_ ]",Number Concentration,b-erybla
b-monos[e9/l],b-monos[e9/l],347953,,0,APPROVED,,FinOMOP,1717545600000,3001604,Monocytes [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002401322,"Monosyytit, absol. arvot",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0.31, 0.4, 0.45, 0.5, 0.55, 0.6, 0.69, 0.77, 0.92,_ ]",Number Concentration,b-monos
l-eos[%],l-eos[%],332417,,0,APPROVED,,FinOMOP,1717545600000,3006504,Eosinophils/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403242,"Eosinofiilit, absol. arvot",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0, 1, 1.1, 2, 2, 3, 3.8, 4.5, 6,_ ]",Number Fraction,l-eos
l-baso[%],l-baso[%],321832,,0,APPROVED,,FinOMOP,1717545600000,3022096,Basophils/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403213,L -Basofiiliset leukosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0, 0, 0, 0.5, 1, 1, 1, 1, 1,_ ]",Number Fraction,l-baso
p-gt[u/l],p-gt[u/l],319802,,0,APPROVED,,FinOMOP,1717545600000,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002404359,P -Glutamyylitransferaasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 14, 18, 22, 27, 34, 44, 60, 91, 172,_ ]",Catalytic Concentration,p-gt
b-ly[e9/l],b-ly[e9/l],311718,,0,APPROVED,,FinOMOP,1717545600000,3019198,Lymphocytes [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002401278,B -Lymfosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 0.93, 1.21, 1.44, 1.63, 1.81, 2.01, 2.26, 2.56, 3.02,_ ]",Number Concentration,b-ly
p-alb[g/l],p-alb[g/l],297438,,0,APPROVED,,FinOMOP,1717545600000,3024561,Albumin [Mass/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,g/l,2002403988,P -Albumiini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 4, 23.6, 28, 31, 33, 35, 36.9, 38, 39, 41,_ ]",Mass Concentration,p-alb
fp-krea[umol/l],fp-krea[umol/l],257930,,0,APPROVED,,FinOMOP,1717545600000,3020564,Creatinine [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,umol/l,2002402467,fP-Kreatiniini,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 5, 54, 62, 67, 72, 77, 83, 90, 101, 129,_ ]",Substance Concentration,fp-krea
p-asat[u/l],p-asat[u/l],212637,,0,APPROVED,,FinOMOP,1717545600000,3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002404022,P -Aspartaattiaminotransferaasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 5, 17, 20, 22, 24, 27, 30, 35, 45, 71,_ ]",Catalytic Concentration,p-asat
p-tnt[ng/l],p-tnt[ng/l],187502,,0,APPROVED,,FinOMOP,1717545600000,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,ng/l,2002404762,"Troponiini T, paketti",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 3, 7, 10, 13, 17, 21, 28, 38, 56, 110,_ ]",Mass Concentration,p-tnt
s-ca-ion[mmol/l],s-ca-ion[mmol/l],184391,,0,APPROVED,,FinOMOP,1717545600000,3016431,Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002405963,"S -Kalsium, ionisoitunut, pH 7.4 korjattu",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.54, 1.14, 1.17, 1.2, 1.21, 1.23, 1.24, 1.26, 1.28, 1.31,_ ]",Substance Concentration,s-ca-ion
l-neut[%],l-neut[%],177728,,0,APPROVED,,FinOMOP,1717545600000,3018010,Neutrophils/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403335,Neutrofiilit (konediffi),LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 39.9, 46, 50.4, 54, 57.4, 61, 64.5, 69, 75,_ ]",Number Fraction,l-neut
p-tt-inr[inr],p-tt-inr[inr],177109,,0,APPROVED,,FinOMOP,1717545600000,3022217,INR in Platelet poor plasma by Coagulation assay,Measurement,,,Javier,1717545600000,,inr,2002404834,"Kontrolli-Tromboplastiiniaika, INR-tulostus",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.7, 1, 1.1, 1.2, 1.7, 2, 2.3, 2.5, 2.7, 3.1,_ ]",Relative time,p-tt-inr
l-monos[%],l-monos[%],174101,,0,APPROVED,,FinOMOP,1717545600000,3019069,Monocytes/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403313,"Monosyytit, absol. arvot",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 5, 6.8, 7.1, 8, 9, 9.4, 10, 11.1, 13,_ ]",Number Fraction,l-monos
b-tromb[e9/l],b-tromb[e9/l],171235,,0,APPROVED,,Tarja,1717545600000,3007461,Platelets [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002401530,,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 2, 163, 191, 211, 229, 247, 265, 287, 316, 365,_ ]",Number Concentration,b-tromb
fb-leuk[e9/l],fb-leuk[e9/l],167720,,0,APPROVED,,Tarja,1717545600000,3010813,Leukocytes [#/volume] in Blood,Measurement,,,Javier,1717545600000,,e9/l,2002402301,,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.1, 4.5, 5.2, 5.7, 6.2, 6.7, 7.3, 8, 8.9, 10.6,_ ]",Number Concentration,fb-leuk
l-neut(a)[%],l-neut(a)[%],167337,,0,APPROVED,,FinOMOP,1717545600000,3018010,Neutrophils/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403337,"L -Neutrofiilit, automaatio",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 40, 46, 51, 55, 58, 61, 65, 70, 77,_ ]",Number Fraction,l-neut(a)
l-mono(a)[%],l-mono(a)[%],166971,,0,APPROVED,,FinOMOP,1717545600000,3019069,Monocytes/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403308,"L -Monosyytit, automaatio",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 6, 7, 8, 8, 9, 10, 10, 11, 13,_ ]",Number Fraction,l-mono(a)
p-amyl[u/l],p-amyl[u/l],166291,,0,APPROVED,,FinOMOP,1717545600000,3016771,Amylase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002403996,P -Amylaasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 3, 26, 34, 40, 46, 51, 58, 66, 78, 101,_ ]",Catalytic Concentration,p-amyl
l-lymf(a)[%],l-lymf(a)[%],165809,,0,APPROVED,,FinOMOP,1717545600000,3002030,Lymphocytes/100 leukocytes in Blood,Measurement,,,Javier,1717545600000,,%,2002403277,"L -Lymfosyytit, automaatio",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 12, 18, 22, 25, 28, 31, 35, 39, 45,_ ]",Number Fraction,l-lymf(a)
s-alat[u/l],s-alat[u/l],159644,,0,APPROVED,,FinOMOP,1717545600000,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,u/l,2002405542,S -Alaniiniaminotransferaasi,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 13, 16, 19, 21, 25, 28, 33, 41, 55,_ ]",Catalytic Concentration,s-alat
u-krea[mmol/l],u-krea[mmol/l],156499,,0,APPROVED,,FinOMOP,1717545600000,3009508,Creatinine [Moles/volume] in Urine,Measurement,,,Javier,1717545600000,,mmol/l,2002408969,"Kreatiniinipaketti, kertavirtsa",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.1, 3, 4, 5, 6, 7, 8.2, 9.7, 11.7, 15,_ ]",Substance Concentration,u-krea
p-tt[%],p-tt[%],153281,,0,APPROVED,,FinOMOP,1717545600000,3033658,Prothrombin time (PT) actual/Normal,Measurement,,,Javier,1717545600000,,%,2002404830,P -Tromboplastiiniaika,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 1, 50, 64, 74, 81, 87, 94, 101, 109, 120,_ ]",Relative time,p-tt
fs-trigly[mmol/l],fs-trigly[mmol/l],149754,,0,APPROVED,,FinOMOP,1717545600000,3025839,Triglyceride [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402655,fS-Triglyseridit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.2, 0.68, 0.81, 0.94, 1.08, 1.22, 1.4, 1.62, 1.94, 2.51,_ ]",Substance Concentration,fs-trigly
u-eryt[e6/l],u-eryt[e6/l],147244,,0,APPROVED,,FinOMOP,1717545600000,3002582,Erythrocytes [#/volume] in Urine,Measurement,,,Javier,1717545600000,,e6/l,2002408884,U -Erytrosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 2.9, 4.1, 6, 8, 11, 14, 19, 28, 57,_ ]",Number Concentration,u-eryt
u-leuk[e6/l],u-leuk[e6/l],146352,,0,APPROVED,,FinOMOP,1717545600000,3018095,Leukocytes [#/volume] in Urine,Measurement,,,Javier,1717545600000,,e6/l,2002408988,U -Leukosyytit,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0, 1, 1, 2, 3, 5, 8.6, 16, 37, 129,_ ]",Number Concentration,u-leuk
fs-kol-hdl[mmol/l],fs-kol-hdl[mmol/l],146280,,0,APPROVED,,FinOMOP,1717545600000,3023602,Cholesterol in HDL [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402593,"fS-kolesteroli, high density lipoproteiinit",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.2, 1, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.71, 2,_ ]",Substance Concentration,fs-kol-hdl
fs-kol-ldl[mmol/l],fs-kol-ldl[mmol/l],146278,,0,APPROVED,,FinOMOP,1717545600000,3001308,Cholesterol in LDL [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402595,"fS-kolesteroli, low density lipoproteiinit",LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 0.4, 2.1, 2.4, 2.7, 3, 3.2, 3.4, 3.7, 4, 4.5,_ ]",Substance Concentration,fs-kol-ldl
fs-kol[mmol/l],fs-kol[mmol/l],146037,,0,APPROVED,,FinOMOP,1717545600000,3019900,Cholesterol [Moles/volume] in Serum or Plasma,Measurement,,,Javier,1717545600000,,mmol/l,2002402590,fS-Kolesteroli,LABfi_ALL Level 0,Measurement,1970-01-01T00:00:00Z,2099-12-31T00:00:00Z,"[ 1.6, 3.9, 4.3, 4.6, 4.9, 5.1, 5.4, 5.7, 6, 6.5,_ ]",Substance Concentration,fs-kol
